count households with [household-SL? = true],count households with [household-SL? = true].1,count households with [household-SL? = true].2,count households with [household-SL? = true].3,count households with [household-SL? = true].4,count households with [household-SL? = true].5,count households with [household-SL? = true].6,count households with [household-SL? = true].7,count households with [household-SL? = true].8,count households with [household-SL? = true].9,count households with [household-SL? = true].10,count households with [household-SL? = true].11,count households with [household-SL? = true].12,count households with [household-SL? = true].13,count households with [household-SL? = true].14,count households with [household-SL? = true].15,count households with [household-SL? = true].16,count households with [household-SL? = true].17,count households with [household-SL? = true].18,count households with [household-SL? = true].19,count households with [household-SL? = true].20,count households with [household-SL? = true].21,count households with [household-SL? = true].22,count households with [household-SL? = true].23,count households with [household-SL? = true].24,count households with [household-SL? = true].25,count households with [household-SL? = true].26,count households with [household-SL? = true].27,count households with [household-SL? = true].28,count households with [household-SL? = true].29
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
41,42,50,45,52,44,42,41,48,52,31,54,43,44,50,19,19,19,19,16,20,20,18,18,19,19,20,19,19,19
